Date and Time,Underdrain Outflow (cfs),Underdrain Outflow (in/hr),,,
4/28/11 6:06,0.00025919,0.016298395,,4/28/11 4:11,0.05
4/28/11 6:08,0.000203052,0.012768363,,4/28/11 4:12,0.05
4/28/11 6:10,0.000203052,0.012768363,,4/28/11 4:13,0.05
4/28/11 6:12,0.000203052,0.012768363,,4/28/11 4:14,0.05
4/28/11 6:14,0.000203052,0.012768363,,4/28/11 4:15,0.05
4/28/11 6:16,0.000166228,0.010452735,,4/28/11 4:16,0.05
4/28/11 6:18,0.000203052,0.012768363,,4/28/11 4:17,0.6
4/28/11 6:20,0.000166228,0.010452735,,4/28/11 4:18,0.6
4/28/11 6:22,0.000166228,0.010452735,,4/28/11 4:19,0.6
4/28/11 6:24,0.000133731,0.008409275,,4/28/11 4:20,0.6
4/28/11 6:26,0.000133731,0.008409275,,4/28/11 4:21,1.44
4/28/11 6:28,0.000105378,0.006626388,,4/28/11 4:22,1.44
4/28/11 6:30,0.000105378,0.006626388,,4/28/11 4:23,1.44
4/28/11 6:32,0.000133731,0.008409275,,4/28/11 4:24,1.44
4/28/11 6:34,0.000133731,0.008409275,,4/28/11 4:25,1.44
4/28/11 6:36,0.000133731,0.008409275,,4/28/11 4:26,0.36
4/28/11 6:38,0.000133731,0.008409275,,4/28/11 4:27,0.36
4/28/11 6:40,0.000105378,0.006626388,,4/28/11 4:28,0.36
4/28/11 6:42,0.000105378,0.006626388,,4/28/11 4:29,0.36
4/28/11 6:44,0.000105378,0.006626388,,4/28/11 4:30,0.36
4/28/11 6:46,0.000105378,0.006626388,,4/28/11 4:31,0.36
4/28/11 6:48,7.36852E-05,0.004633478,,4/28/11 5:02,0.12
4/28/11 6:50,7.36852E-05,0.004633478,,4/28/11 5:03,0.12
4/28/11 6:52,7.36852E-05,0.004633478,,4/28/11 5:04,0.12
4/28/11 6:54,7.36852E-05,0.004633478,,4/28/11 5:05,0.12
4/28/11 6:56,5.42333E-05,0.003410306,,4/28/11 5:06,0.12
4/28/11 6:58,5.42333E-05,0.003410306,,4/28/11 6:05,0.24
4/28/11 7:00,5.42333E-05,0.003410306,,4/28/11 6:06,0.24
4/28/11 7:02,3.82403E-05,0.002404632,,4/28/11 6:07,0.24
4/28/11 7:04,3.82403E-05,0.002404632,,4/28/11 6:08,0.24
4/28/11 7:06,3.82403E-05,0.002404632,,4/28/11 6:09,0.24
4/28/11 7:08,3.82403E-05,0.002404632,,4/28/11 6:10,0.24
4/28/11 7:10,3.82403E-05,0.002404632,,4/28/11 6:11,0.04
4/28/11 7:12,3.82403E-05,0.002404632,,4/28/11 6:12,0.04
4/28/11 7:14,3.82403E-05,0.002404632,,4/28/11 6:13,0.04
4/28/11 7:16,3.82403E-05,0.002404632,,4/28/11 6:14,0.04
4/28/11 7:18,2.189E-05,0.001376492,,4/28/11 6:15,0.04
4/28/11 7:20,3.82403E-05,0.002404632,,4/28/11 6:16,0.04
4/28/11 7:22,2.189E-05,0.001376492,,4/28/11 6:17,0.04
4/28/11 7:24,2.189E-05,0.001376492,,4/28/11 6:18,0.04
4/28/11 7:26,2.189E-05,0.001376492,,4/28/11 6:19,0.04
4/28/11 7:28,2.189E-05,0.001376492,,4/28/11 6:20,0.04
4/28/11 7:30,2.189E-05,0.001376492,,4/28/11 6:21,0.04
4/28/11 7:32,1.30258E-05,0.000819091,,4/28/11 6:22,0.04
4/28/11 7:34,1.30258E-05,0.000819091,,4/28/11 6:23,0.04
4/28/11 7:36,1.30258E-05,0.000819091,,4/28/11 6:24,0.04
